cell_type	gene	expressed
K562	ASAP3	TRUE
K562	E2F2	TRUE
K562	ID3	TRUE
K562	MDS2	TRUE
K562	RPL11	TRUE
K562	ELOA	TRUE
K562	PITHD1	TRUE
K562	LYPLA2	TRUE
K562	GALE	TRUE
K562	HMGCL	TRUE
K562	FUCA1	TRUE
K562	CNR2	TRUE
K562	PNRC2	TRUE
K562	SRSF10	TRUE
K562	MYOM3	TRUE
K562	STPG1	TRUE
K562	NIPAL3	TRUE
K562	RCAN3AS	TRUE
K562	RCAN3	TRUE
K562	SRRM1	TRUE
K562	CLIC4	TRUE
K562	RUNX3	TRUE
K562	SYF2	TRUE
K562	RSRP1	TRUE
K562	RHD	TRUE
K562	TMEM50A	TRUE
K562	RHCE	TRUE
K562	TMEM57	TRUE
K562	LDLRAP1	TRUE
K562	MAN1C1	TRUE
K562	SELENON	TRUE
K562	MTFR1L	TRUE
K562	AUNIP	TRUE
K562	PAQR7	TRUE
K562	STMN1	TRUE
K562	PAFAH2	TRUE
K562	EXTL1	TRUE
K562	SLC30A2	TRUE
K562	TRIM63	TRUE
K562	PDIK1L	TRUE
K562	FAM110D	TRUE
K562	ZNF593	TRUE
K562	CNKSR1	TRUE
K562	CATSPER4	TRUE
K562	CEP85	TRUE
K562	SH3BGRL3	TRUE
K562	UBXN11	TRUE
K562	CD52	TRUE
K562	AIM1L	TRUE
K562	LIN28A	TRUE
K562	DHDDS	TRUE
K562	HMGN2	TRUE
K562	RPS6KA1	TRUE
K562	ARID1A	TRUE
K562	PIGV	TRUE
K562	ZDHHC18	TRUE
K562	SFN	TRUE
K562	GPN2	TRUE
K562	GPATCH3	TRUE
K562	NR0B2	TRUE
K562	NUDC	TRUE
K562	KDF1	TRUE
K562	TRNP1	TRUE
K562	FAM46B	TRUE
K562	SLC9A1	TRUE
K562	WDTC1	TRUE
K562	TMEM222	TRUE
K562	SYTL1	TRUE
K562	MAP3K6	TRUE
K562	CD164L2	TRUE
K562	GPR3	TRUE
K562	WASF2	TRUE
K562	AHDC1	TRUE
K562	IFI6	TRUE
K562	FAM76A	TRUE
K562	STX12	TRUE
K562	PPP1R8	TRUE
K562	THEMIS2	TRUE
K562	RPA2	TRUE
K562	SMPDL3B	TRUE
K562	XKR8	TRUE
K562	EYA3	TRUE
K562	DNAJC8	TRUE
K562	ATPIF1	TRUE
K562	SESN2	TRUE
K562	MED18	TRUE
K562	PHACTR4	TRUE
K562	SNHG3	TRUE
K562	RCC1	TRUE
K562	TRNAU1AP	TRUE
K562	TAF12	TRUE
K562	GMEB1	TRUE
K562	YTHDF2	TRUE
K562	EPB41	TRUE
K562	TMEM200B	TRUE
K562	SRSF4	TRUE
K562	MECR	TRUE
K562	PTPRU	TRUE
K562	LINC01756	TRUE
K562	MATN1	TRUE
K562	LAPTM5	TRUE
K562	SDC3	TRUE
K562	PUM1	TRUE
K562	NKAIN1	TRUE
K562	SNRNP40	TRUE
K562	ZCCHC17	TRUE
K562	FABP3	TRUE
K562	SERINC2	TRUE
K562	TINAGL1	TRUE
K562	PEF1	TRUE
K562	COL16A1	TRUE
K562	ADGRB2	TRUE
K562	SPOCD1	TRUE
K562	PTP4A2	TRUE
K562	KHDRBS1	TRUE
