cell_type	gene	expressed
GM12878	SOX4	TRUE
GM12878	CASC15	TRUE
GM12878	NBAT1	TRUE
GM12878	MRS2	TRUE
GM12878	ALDH5A1	TRUE
GM12878	KIAA0319	TRUE
GM12878	TDP2	TRUE
GM12878	ACOT13	TRUE
GM12878	C6orf62	TRUE
GM12878	GMNN	TRUE
GM12878	RIPOR2	TRUE
GM12878	CARMIL1	TRUE
GM12878	SLC17A1	TRUE
GM12878	TRIM38	TRUE
GM12878	HIST1H1A	TRUE
GM12878	HIST1H3A	TRUE
GM12878	HIST1H4A	TRUE
GM12878	HIST1H4B	TRUE
GM12878	HIST1H3B	TRUE
GM12878	HIST1H2AB	TRUE
GM12878	HIST1H2BB	TRUE
GM12878	HIST1H3C	TRUE
GM12878	HIST1H1C	TRUE
GM12878	HFE	TRUE
GM12878	HIST1H4C	TRUE
GM12878	HIST1H1T	TRUE
GM12878	HIST1H2BC	TRUE
GM12878	HIST1H2AC	TRUE
GM12878	HIST1H1E	TRUE
GM12878	HIST1H2BD	TRUE
GM12878	HIST1H2BE	TRUE
GM12878	HIST1H4D	TRUE
GM12878	HIST1H3D	TRUE
GM12878	HIST1H2AD	TRUE
GM12878	HIST1H2BF	TRUE
GM12878	HIST1H4E	TRUE
GM12878	HIST1H2BG	TRUE
GM12878	HIST1H2AE	TRUE
GM12878	HIST1H3E	TRUE
GM12878	HIST1H1D	TRUE
GM12878	HIST1H4F	TRUE
GM12878	HIST1H4G	TRUE
GM12878	HIST1H3F	TRUE
GM12878	HIST1H2BH	TRUE
GM12878	HIST1H3G	TRUE
GM12878	HIST1H2BI	TRUE
GM12878	HIST1H4H	TRUE
GM12878	BTN3A2	TRUE
GM12878	BTN2A2	TRUE
GM12878	BTN3A1	TRUE
GM12878	BTN3A3	TRUE
GM12878	BTN2A1	TRUE
GM12878	HCG11	TRUE
GM12878	HMGN4	TRUE
GM12878	ABT1	TRUE
GM12878	ZNF322	TRUE
GM12878	HIST1H2BJ	TRUE
GM12878	HIST1H2AG	TRUE
GM12878	HIST1H4I	TRUE
GM12878	HIST1H2BK	TRUE
GM12878	HIST1H2AH	TRUE
GM12878	POM121L2	TRUE
GM12878	ZNF391	TRUE
GM12878	ZNF184	TRUE
GM12878	LINC01012	TRUE
GM12878	HIST1H2BL	TRUE
GM12878	HIST1H2AI	TRUE
GM12878	HIST1H3H	TRUE
GM12878	HIST1H2AJ	TRUE
GM12878	HIST1H2BM	TRUE
GM12878	HIST1H4J	TRUE
GM12878	HIST1H4K	TRUE
GM12878	HIST1H2AK	TRUE
GM12878	HIST1H2BN	TRUE
GM12878	HIST1H2AL	TRUE
GM12878	HIST1H1B	TRUE
GM12878	HIST1H3I	TRUE
GM12878	HIST1H4L	TRUE
GM12878	HIST1H3J	TRUE
GM12878	HIST1H2AM	TRUE
GM12878	HIST1H2BO	TRUE
GM12878	OR2B6	TRUE
GM12878	ZNF165	TRUE
GM12878	ZSCAN16	TRUE
GM12878	ZKSCAN8	TRUE
GM12878	ZSCAN9	TRUE
GM12878	ZKSCAN4	TRUE
GM12878	NKAPL	TRUE
GM12878	ZSCAN26	TRUE
GM12878	PGBD1	TRUE
GM12878	ZSCAN31	TRUE
GM12878	ZKSCAN3	TRUE
GM12878	ZSCAN12	TRUE
GM12878	ZSCAN23	TRUE
GM12878	GPX6	TRUE
GM12878	ZBED9	TRUE
GM12878	LINC01623	TRUE
GM12878	TRIM27	TRUE
GM12878	LINC01556	TRUE
GM12878	LINC01015	TRUE
GM12878	UBD	TRUE
GM12878	GABBR1	TRUE
GM12878	ZFP57	TRUE
GM12878	HLA-F	TRUE
GM12878	HLA-F-AS1	TRUE
GM12878	HLA-A	TRUE
GM12878	ZNRD1	TRUE
GM12878	PPP1R11	TRUE
GM12878	TRIM31	TRUE
GM12878	TRIM40	TRUE
GM12878	TRIM15	TRUE
GM12878	TRIM26	TRUE
GM12878	HCG17	TRUE
GM12878	TRIM39	TRUE
GM12878	TRIM39-RPP21	TRUE
GM12878	RPP21	TRUE
GM12878	HLA-E	TRUE
GM12878	PRR3	TRUE
GM12878	GNL1	TRUE
GM12878	ABCF1	TRUE
GM12878	PPP1R10	TRUE
GM12878	MRPS18B	TRUE
GM12878	ATAT1	TRUE
GM12878	C6orf136	TRUE
GM12878	DHX16	TRUE
GM12878	PPP1R18	TRUE
GM12878	NRM	TRUE
GM12878	MDC1	TRUE
GM12878	TUBB	TRUE
GM12878	FLOT1	TRUE
GM12878	IER3	TRUE
GM12878	HCG20	TRUE
GM12878	LINC00243	TRUE
GM12878	DDR1	TRUE
GM12878	GTF2H4	TRUE
GM12878	VARS2	TRUE
GM12878	MUC21	TRUE
GM12878	MUC22	TRUE
GM12878	HCG22	TRUE
GM12878	PSORS1C2	TRUE
GM12878	CCHCR1	TRUE
GM12878	TCF19	TRUE
GM12878	HCG27	TRUE
GM12878	HLA-C	TRUE
GM12878	HLA-B	TRUE
GM12878	MICA	TRUE
GM12878	LINC01149	TRUE
GM12878	HCP5	TRUE
GM12878	MICB	TRUE
GM12878	MCCD1	TRUE
GM12878	DDX39B	TRUE
GM12878	ATP6V1G2-DDX39B	TRUE
GM12878	ATP6V1G2	TRUE
GM12878	NFKBIL1	TRUE
GM12878	LTA	TRUE
GM12878	TNF	TRUE
GM12878	LTB	TRUE
GM12878	LST1	TRUE
GM12878	NCR3	TRUE
GM12878	AIF1	TRUE
GM12878	PRRC2A	TRUE
GM12878	APOM	TRUE
GM12878	BAG6	TRUE
GM12878	C6orf47	TRUE
GM12878	GPANK1	TRUE
GM12878	CSNK2B	TRUE
GM12878	LY6G5B	TRUE
GM12878	LY6G5C	TRUE
GM12878	ABHD16A	TRUE
GM12878	LY6G6F	TRUE
GM12878	LY6G6E	TRUE
GM12878	DDAH2	TRUE
GM12878	CLIC1	TRUE
GM12878	MSH5	TRUE
GM12878	MSH5-SAPCD1	TRUE
GM12878	SAPCD1	TRUE
GM12878	VWA7	TRUE
GM12878	VARS	TRUE
GM12878	LSM2	TRUE
GM12878	HSPA1L	TRUE
GM12878	HSPA1A	TRUE
GM12878	HSPA1B	TRUE
GM12878	C6orf48	TRUE
GM12878	NEU1	TRUE
GM12878	EHMT2	TRUE
GM12878	ZBTB12	TRUE
GM12878	C2	TRUE
GM12878	CFB	TRUE
GM12878	SKIV2L	TRUE
GM12878	NELFE	TRUE
GM12878	DXO	TRUE
GM12878	TNXB	TRUE
GM12878	ATF6B	TRUE
GM12878	FKBPL	TRUE
GM12878	PRRT1	TRUE
GM12878	PPT2	TRUE
GM12878	PPT2-EGFL8	TRUE
GM12878	AGPAT1	TRUE
GM12878	RNF5	TRUE
GM12878	AGER	TRUE
GM12878	PBX2	TRUE
GM12878	GPSM3	TRUE
GM12878	NOTCH4	TRUE
GM12878	BTNL2	TRUE
GM12878	HLA-DRA	TRUE
GM12878	HLA-DRB5	TRUE
GM12878	HLA-DRB1	TRUE
GM12878	HLA-DQA1	TRUE
GM12878	HLA-DQB1	TRUE
GM12878	HLA-DOB	TRUE
GM12878	TAP2	TRUE
GM12878	PSMB8-AS1	TRUE
GM12878	PSMB8	TRUE
GM12878	TAP1	TRUE
GM12878	PSMB9	TRUE
GM12878	HLA-DMB	TRUE
GM12878	HLA-DMA	TRUE
GM12878	BRD2	TRUE
GM12878	HLA-DOA	TRUE
GM12878	HLA-DPB1	TRUE
GM12878	HLA-DPA1	TRUE
GM12878	COL11A2	TRUE
GM12878	RXRB	TRUE
GM12878	SLC39A7	TRUE
GM12878	HSD17B8	TRUE
GM12878	RING1	TRUE
GM12878	VPS52	TRUE
GM12878	RPS18	TRUE
GM12878	B3GALT4	TRUE
GM12878	WDR46	TRUE
GM12878	PFDN6	TRUE
GM12878	RGL2	TRUE
GM12878	TAPBP	TRUE
GM12878	ZBTB22	TRUE
GM12878	DAXX	TRUE
GM12878	KIFC1	TRUE
GM12878	PHF1	TRUE
GM12878	CUTA	TRUE
GM12878	SYNGAP1	TRUE
GM12878	ZBTB9	TRUE
GM12878	BAK1	TRUE
GM12878	LINC00336	TRUE
GM12878	ITPR3	TRUE
GM12878	UQCC2	TRUE
GM12878	LEMD2	TRUE
GM12878	HMGA1	TRUE
GM12878	C6orf1	TRUE
GM12878	NUDT3	TRUE
GM12878	RPS10-NUDT3	TRUE
GM12878	RPS10	TRUE
GM12878	PACSIN1	TRUE
GM12878	C6orf106	TRUE
GM12878	SNRPC	TRUE
GM12878	UHRF1BP1	TRUE
GM12878	TAF11	TRUE
GM12878	ANKS1A	TRUE
GM12878	TCP11	TRUE
GM12878	SCUBE3	TRUE
GM12878	ZNF76	TRUE
GM12878	DEF6	TRUE
GM12878	PPARD	TRUE
GM12878	FANCE	TRUE
GM12878	RPL10A	TRUE
GM12878	TEAD3	TRUE
GM12878	FKBP5	TRUE
GM12878	ARMC12	TRUE
GM12878	CLPSL2	TRUE
GM12878	CLPSL1	TRUE
GM12878	SRPK1	TRUE
GM12878	MAPK14	TRUE
GM12878	MAPK13	TRUE
GM12878	BRPF3	TRUE
GM12878	C6orf222	TRUE
GM12878	ETV7	TRUE
GM12878	KCTD20	TRUE
GM12878	PXT1	TRUE
GM12878	STK38	TRUE
GM12878	SRSF3	TRUE
GM12878	CDKN1A	TRUE
GM12878	CPNE5	TRUE
GM12878	PPIL1	TRUE
GM12878	C6orf89	TRUE
GM12878	MTCH1	TRUE
GM12878	FGD2	TRUE
GM12878	PIM1	TRUE
GM12878	TBC1D22B	TRUE
GM12878	TMEM217	TRUE
GM12878	RNF8	TRUE
GM12878	CMTR1	TRUE
GM12878	CCDC167	TRUE
GM12878	MDGA1	TRUE
GM12878	ZFAND3	TRUE
GM12878	BTBD9	TRUE
GM12878	GLO1	TRUE
GM12878	DNAH8	TRUE
GM12878	SAYSD1	TRUE
GM12878	KCNK5	TRUE
GM12878	KIF6	TRUE
GM12878	MOCS1	TRUE
GM12878	LRFN2	TRUE
GM12878	UNC5CL	TRUE
GM12878	TSPO2	TRUE
GM12878	OARD1	TRUE
GM12878	NFYA	TRUE
GM12878	TREML2	TRUE
GM12878	NCR2	TRUE
GM12878	FOXP4	TRUE
GM12878	TFEB	TRUE
GM12878	FRS3	TRUE
GM12878	PRICKLE4	TRUE
GM12878	TOMM6	TRUE
GM12878	USP49	TRUE
GM12878	MED20	TRUE
GM12878	BYSL	TRUE
GM12878	CCND3	TRUE
GM12878	TAF8	TRUE
GM12878	C6orf132	TRUE
GM12878	GUCA1A	TRUE
GM12878	MRPS10	TRUE
GM12878	TRERF1	TRUE
GM12878	UBR2	TRUE
GM12878	TBCC	TRUE
GM12878	GLTSCR1L	TRUE
GM12878	RPL7L1	TRUE
GM12878	C6orf226	TRUE
GM12878	PTCRA	TRUE
GM12878	CNPY3	TRUE
GM12878	PEX6	TRUE
GM12878	PPP2R5D	TRUE
GM12878	MEA1	TRUE
GM12878	KLHDC3	TRUE
GM12878	RRP36	TRUE
GM12878	CUL7	TRUE
GM12878	MRPL2	TRUE
GM12878	KLC4	TRUE
GM12878	PTK7	TRUE
GM12878	SRF	TRUE
GM12878	CUL9	TRUE
GM12878	DNPH1	TRUE
GM12878	TTBK1	TRUE
GM12878	SLC22A7	TRUE
GM12878	CRIP3	TRUE
GM12878	ZNF318	TRUE
GM12878	ABCC10	TRUE
GM12878	DLK2	TRUE
GM12878	TJAP1	TRUE
GM12878	LRRC73	TRUE
GM12878	YIPF3	TRUE
GM12878	POLR1C	TRUE
GM12878	XPO5	TRUE
GM12878	POLH	TRUE
GM12878	GTPBP2	TRUE
GM12878	MAD2L1BP	TRUE
GM12878	RSPH9	TRUE
GM12878	MRPS18A	TRUE
GM12878	VEGFA	TRUE
GM12878	C6orf223	TRUE
GM12878	MRPL14	TRUE
GM12878	TMEM63B	TRUE
GM12878	SLC29A1	TRUE
GM12878	HSP90AB1	TRUE
GM12878	SLC35B2	TRUE
GM12878	NFKBIE	TRUE
GM12878	TCTE1	TRUE
GM12878	AARS2	TRUE
GM12878	CDC5L	TRUE
GM12878	SUPT3H	TRUE
GM12878	ENPP4	TRUE
GM12878	ENPP5	TRUE
GM12878	RCAN2	TRUE
GM12878	CYP39A1	TRUE
GM12878	SLC25A27	TRUE
GM12878	ADGRF1	TRUE
GM12878	TNFRSF21	TRUE
GM12878	CD2AP	TRUE
GM12878	ADGRF2	TRUE
GM12878	ADGRF4	TRUE
GM12878	MUT	TRUE
GM12878	CENPQ	TRUE
GM12878	PKHD1	TRUE
GM12878	IL17A	TRUE
GM12878	MCM3	TRUE
GM12878	PAQR8	TRUE
GM12878	EFHC1	TRUE
GM12878	TRAM2	TRUE
GM12878	TRAM2-AS1	TRUE
GM12878	TMEM14A	TRUE
GM12878	GSTA4	TRUE
GM12878	ICK	TRUE
GM12878	FBXO9	TRUE
GM12878	ELOVL5	TRUE
GM12878	GCLC	TRUE
GM12878	LRRC1	TRUE
GM12878	TINAG	TRUE
GM12878	DST	TRUE
GM12878	BEND6	TRUE
GM12878	KIAA1586	TRUE
GM12878	ZNF451	TRUE
GM12878	BAG2	TRUE
GM12878	RAB23	TRUE
GM12878	PRIM2	TRUE
GM12878	LINC00680-GUSBP4	TRUE
GM12878	KHDRBS2	TRUE
GM12878	PTP4A1	TRUE
GM12878	PHF3	TRUE
GM12878	LMBRD1	TRUE
GM12878	COL19A1	TRUE
GM12878	FAM135A	TRUE
GM12878	SDHAF4	TRUE
GM12878	SMAP1	TRUE
GM12878	OGFRL1	TRUE
GM12878	KCNQ5	TRUE
GM12878	KHDC1	TRUE
GM12878	DDX43	TRUE
GM12878	MB21D1	TRUE
GM12878	MTO1	TRUE
GM12878	EEF1A1	TRUE
GM12878	SLC17A5	TRUE
GM12878	CD109	TRUE
GM12878	COX7A2	TRUE
GM12878	TMEM30A	TRUE
GM12878	FILIP1	TRUE
GM12878	SENP6	TRUE
GM12878	MYO6	TRUE
GM12878	IMPG1	TRUE
GM12878	IRAK1BP1	TRUE
GM12878	PHIP	TRUE
GM12878	HMGN3	TRUE
GM12878	LCA5	TRUE
GM12878	SH3BGRL2	TRUE
GM12878	TTK	TRUE
GM12878	BCKDHB	TRUE
GM12878	FAM46A	TRUE
GM12878	IBTK	TRUE
GM12878	TPBG	TRUE
GM12878	UBE3D	TRUE
GM12878	DOPEY1	TRUE
GM12878	PGM3	TRUE
GM12878	RWDD2A	TRUE
GM12878	ME1	TRUE
GM12878	PRSS35	TRUE
GM12878	CYB5R4	TRUE
GM12878	CEP162	TRUE
GM12878	NT5E	TRUE
GM12878	SNX14	TRUE
GM12878	SYNCRIP	TRUE
GM12878	SNHG5	TRUE
GM12878	ZNF292	TRUE
GM12878	SMIM8	TRUE
GM12878	C6orf163	TRUE
GM12878	CFAP206	TRUE
GM12878	SLC35A1	TRUE
GM12878	RARS2	TRUE
GM12878	ORC3	TRUE
GM12878	AKIRIN2	TRUE
GM12878	CNR1	TRUE
GM12878	RNGTT	TRUE
GM12878	PNRC1	TRUE
GM12878	PM20D2	TRUE
GM12878	UBE2J1	TRUE
GM12878	RRAGD	TRUE
GM12878	ANKRD6	TRUE
GM12878	LYRM2	TRUE
GM12878	MDN1	TRUE
GM12878	CASP8AP2	TRUE
GM12878	BACH2	TRUE
GM12878	MAP3K7	TRUE
GM12878	EPHA7	TRUE
GM12878	MANEA	TRUE
GM12878	UFL1	TRUE
GM12878	GPR63	TRUE
GM12878	NDUFAF4	TRUE
GM12878	KLHL32	TRUE
GM12878	MMS22L	TRUE
GM12878	POU3F2	TRUE
GM12878	FBXL4	TRUE
GM12878	COQ3	TRUE
GM12878	PNISR	TRUE
GM12878	USP45	TRUE
GM12878	TSTD3	TRUE
GM12878	CCNC	TRUE
GM12878	PRDM13	TRUE
GM12878	ASCC3	TRUE
GM12878	HACE1	TRUE
GM12878	LIN28B	TRUE
GM12878	BVES	TRUE
GM12878	PREP	TRUE
GM12878	PRDM1	TRUE
GM12878	ATG5	TRUE
GM12878	AIM1	TRUE
GM12878	RTN4IP1	TRUE
GM12878	QRSL1	TRUE
GM12878	C6orf203	TRUE
GM12878	BEND3	TRUE
GM12878	PDSS2	TRUE
GM12878	SCML4	TRUE
GM12878	SEC63	TRUE
GM12878	OSTM1	TRUE
GM12878	SNX3	TRUE
GM12878	LACE1	TRUE
GM12878	FOXO3	TRUE
GM12878	LINC00222	TRUE
GM12878	ARMC2	TRUE
GM12878	SESN1	TRUE
GM12878	CEP57L1	TRUE
GM12878	CD164	TRUE
GM12878	SMPD2	TRUE
GM12878	PPIL6	TRUE
GM12878	MICAL1	TRUE
GM12878	ZBTB24	TRUE
GM12878	AK9	TRUE
GM12878	FIG4	TRUE
GM12878	WASF1	TRUE
GM12878	CDC40	TRUE
GM12878	DDO	TRUE
GM12878	CDK19	TRUE
GM12878	AMD1	TRUE
GM12878	GTF3C6	TRUE
GM12878	RPF2	TRUE
GM12878	SLC16A10	TRUE
GM12878	MFSD4B	TRUE
GM12878	REV3L	TRUE
GM12878	TRAF3IP2	TRUE
GM12878	FYN	TRUE
GM12878	FAM229B	TRUE
GM12878	TUBE1	TRUE
GM12878	MARCKS	TRUE
GM12878	LINC01268	TRUE
GM12878	HDAC2	TRUE
GM12878	FRK	TRUE
GM12878	NT5DC1	TRUE
GM12878	TSPYL4	TRUE
GM12878	DSE	TRUE
GM12878	TSPYL1	TRUE
GM12878	FAM26F	TRUE
GM12878	FAM26E	TRUE
GM12878	RWDD1	TRUE
GM12878	RSPH4A	TRUE
GM12878	ZUFSP	TRUE
GM12878	KPNA5	TRUE
GM12878	VGLL2	TRUE
GM12878	DCBLD1	TRUE
GM12878	GOPC	TRUE
GM12878	NUS1	TRUE
GM12878	CEP85L	TRUE
GM12878	ASF1A	TRUE
GM12878	MCM9	TRUE
GM12878	FAM184A	TRUE
GM12878	MAN1A1	TRUE
GM12878	TBC1D32	TRUE
GM12878	HSF2	TRUE
GM12878	SERINC1	TRUE
GM12878	PKIB	TRUE
GM12878	FABP7	TRUE
GM12878	SMPDL3A	TRUE
GM12878	RNF217	TRUE
GM12878	TPD52L1	TRUE
GM12878	HDDC2	TRUE
GM12878	HEY2	TRUE
GM12878	NCOA7	TRUE
GM12878	HINT3	TRUE
GM12878	TRMT11	TRUE
GM12878	CENPW	TRUE
GM12878	RSPO3	TRUE
GM12878	RNF146	TRUE
GM12878	ECHDC1	TRUE
GM12878	THEMIS	TRUE
GM12878	PTPRK	TRUE
GM12878	ARHGAP18	TRUE
GM12878	TMEM244	TRUE
GM12878	L3MBTL3	TRUE
GM12878	SAMD3	TRUE
GM12878	TMEM200A	TRUE
GM12878	SMLR1	TRUE
GM12878	EPB41L2	TRUE
GM12878	AKAP7	TRUE
GM12878	ARG1	TRUE
GM12878	MED23	TRUE
GM12878	MOXD1	TRUE
GM12878	STX7	TRUE
GM12878	TAAR8	TRUE
GM12878	TAAR1	TRUE
GM12878	VNN1	TRUE
GM12878	VNN3	TRUE
GM12878	VNN2	TRUE
GM12878	SLC18B1	TRUE
GM12878	RPS12	TRUE
GM12878	TCF21	TRUE
GM12878	TBPL1	TRUE
GM12878	SLC2A12	TRUE
GM12878	SGK1	TRUE
GM12878	LINC01010	TRUE
GM12878	ALDH8A1	TRUE
GM12878	HBS1L	TRUE
GM12878	MYB	TRUE
GM12878	AHI1	TRUE
GM12878	LINC00271	TRUE
GM12878	PDE7B	TRUE
GM12878	MTFR2	TRUE
GM12878	BCLAF1	TRUE
GM12878	MAP7	TRUE
GM12878	MAP3K5	TRUE
GM12878	PEX7	TRUE
GM12878	SLC35D3	TRUE
GM12878	IL22RA2	TRUE
GM12878	IFNGR1	TRUE
GM12878	OLIG3	TRUE
GM12878	TNFAIP3	TRUE
GM12878	PERP	TRUE
GM12878	HEBP2	TRUE
GM12878	CCDC28A	TRUE
GM12878	GVQW2	TRUE
GM12878	REPS1	TRUE
GM12878	ABRACL	TRUE
GM12878	HECA	TRUE
GM12878	TXLNB	TRUE
GM12878	CITED2	TRUE
GM12878	LINC01625	TRUE
GM12878	NMBR	TRUE
GM12878	VTA1	TRUE
GM12878	HIVEP2	TRUE
GM12878	AIG1	TRUE
GM12878	ADAT2	TRUE
GM12878	PEX3	TRUE
GM12878	FUCA2	TRUE
GM12878	LTV1	TRUE
GM12878	HYMAI	TRUE
GM12878	SF3B5	TRUE
GM12878	STX11	TRUE
GM12878	EPM2A	TRUE
GM12878	FBXO30	TRUE
GM12878	SHPRH	TRUE
GM12878	RAB32	TRUE
GM12878	STXBP5	TRUE
GM12878	SAMD5	TRUE
GM12878	SASH1	TRUE
GM12878	UST	TRUE
GM12878	TAB2	TRUE
GM12878	SUMO4	TRUE
GM12878	ZC3H12D	TRUE
GM12878	PPIL4	TRUE
GM12878	GINM1	TRUE
GM12878	KATNA1	TRUE
GM12878	LATS1	TRUE
GM12878	NUP43	TRUE
GM12878	PCMT1	TRUE
GM12878	LRP11	TRUE
GM12878	RAET1E	TRUE
GM12878	ULBP2	TRUE
GM12878	ULBP1	TRUE
GM12878	ULBP3	TRUE
GM12878	PPP1R14C	TRUE
GM12878	PLEKHG1	TRUE
GM12878	MTHFD1L	TRUE
GM12878	ZBTB2	TRUE
GM12878	RMND1	TRUE
GM12878	ARMT1	TRUE
GM12878	FBXO5	TRUE
GM12878	MTRF1L	TRUE
GM12878	RGS17	TRUE
GM12878	IPCEF1	TRUE
GM12878	CNKSR3	TRUE
GM12878	SCAF8	TRUE
GM12878	TIAM2	TRUE
GM12878	TFB1M	TRUE
GM12878	ARID1B	TRUE
GM12878	TMEM242	TRUE
GM12878	ZDHHC14	TRUE
GM12878	SNX9	TRUE
GM12878	SYNJ2	TRUE
GM12878	SERAC1	TRUE
GM12878	GTF2H5	TRUE
GM12878	TULP4	TRUE
GM12878	TMEM181	TRUE
GM12878	DYNLT1	TRUE
GM12878	SYTL3	TRUE
GM12878	EZR	TRUE
GM12878	C6orf99	TRUE
GM12878	RSPH3	TRUE
GM12878	TAGAP	TRUE
GM12878	SOD2	TRUE
GM12878	WTAP	TRUE
GM12878	ACAT2	TRUE
GM12878	TCP1	TRUE
GM12878	MRPL18	TRUE
GM12878	PNLDC1	TRUE
GM12878	MAS1	TRUE
GM12878	IGF2R	TRUE
GM12878	SLC22A1	TRUE
GM12878	MAP3K4	TRUE
GM12878	AGPAT4	TRUE
GM12878	PACRG	TRUE
GM12878	PRKN	TRUE
GM12878	CAHM	TRUE
GM12878	QKI	TRUE
GM12878	T	TRUE
GM12878	PRR18	TRUE
GM12878	SFT2D1	TRUE
GM12878	MPC1	TRUE
GM12878	RPS6KA2	TRUE
GM12878	RNASET2	TRUE
GM12878	FGFR1OP	TRUE
GM12878	CCR6	TRUE
GM12878	GPR31	TRUE
GM12878	LINC01558	TRUE
GM12878	AFDN-AS1	TRUE
GM12878	AFDN	TRUE
GM12878	WDR27	TRUE
GM12878	C6orf120	TRUE
GM12878	PHF10	TRUE
GM12878	TCTE3	TRUE
GM12878	ERMARD	TRUE
GM12878	LINC00574	TRUE
GM12878	LINC01624	TRUE
GM12878	DLL1	TRUE
GM12878	FAM120B	TRUE
GM12878	PSMB1	TRUE
GM12878	TBP	TRUE
GM12878	PDCD2	TRUE
GM12878	RADIL	TRUE
GM12878	PAPOLB	TRUE
GM12878	AP5Z1	TRUE
GM12878	FOXK1	TRUE
GM12878	SDK1	TRUE
GM12878	CARD11	TRUE
GM12878	GNA12	TRUE
GM12878	AMZ1	TRUE
GM12878	TTYH3	TRUE
GM12878	IQCE	TRUE
GM12878	BRAT1	TRUE
GM12878	LFNG	TRUE
GM12878	CHST12	TRUE
GM12878	EIF3B	TRUE
GM12878	SNX8	TRUE
GM12878	NUDT1	TRUE
GM12878	MRM2	TRUE
GM12878	MAD1L1	TRUE
GM12878	ELFN1-AS1	TRUE
GM12878	ELFN1	TRUE
GM12878	PSMG3-AS1	TRUE
GM12878	PSMG3	TRUE
GM12878	TMEM184A	TRUE
GM12878	MAFK	TRUE
GM12878	INTS1	TRUE
GM12878	MICALL2	TRUE
GM12878	ZFAND2A	TRUE
GM12878	C7orf50	TRUE
GM12878	GPER1	TRUE
GM12878	GPR146	TRUE
GM12878	CYP2W1	TRUE
GM12878	COX19	TRUE
GM12878	ADAP1	TRUE
GM12878	GET4	TRUE
GM12878	SUN1	TRUE
GM12878	PRKAR1B	TRUE
GM12878	DNAAF5	TRUE
GM12878	HRAT92	TRUE
GM12878	PDGFA	TRUE
GM12878	RBAK-RBAKDN	TRUE
GM12878	RBAK	TRUE
GM12878	RBAKDN	TRUE
GM12878	WIPI2	TRUE
GM12878	TNRC18	TRUE
GM12878	FBXL18	TRUE
GM12878	ACTB	TRUE
GM12878	FSCN1	TRUE
GM12878	RNF216	TRUE
GM12878	PMS2	TRUE
GM12878	AIMP2	TRUE
GM12878	ANKRD61	TRUE
GM12878	EIF2AK1	TRUE
GM12878	USP42	TRUE
GM12878	CYTH3	TRUE
GM12878	FAM220A	TRUE
GM12878	RAC1	TRUE
GM12878	DAGLB	TRUE
GM12878	KDELR2	TRUE
GM12878	ZDHHC4	TRUE
GM12878	C7orf26	TRUE
GM12878	ZNF853	TRUE
GM12878	ZNF316	TRUE
GM12878	ZNF12	TRUE
GM12878	C1GALT1	TRUE
GM12878	MIOS	TRUE
GM12878	UMAD1	TRUE
GM12878	RPA3	TRUE
GM12878	GLCCI1	TRUE
GM12878	ICA1	TRUE
GM12878	NDUFA4	TRUE
GM12878	PHF14	TRUE
GM12878	TMEM106B	TRUE
GM12878	VWDE	TRUE
GM12878	ARL4A	TRUE
GM12878	ISPD	TRUE
GM12878	SOSTDC1	TRUE
GM12878	ANKMY2	TRUE
GM12878	BZW2	TRUE
GM12878	TSPAN13	TRUE
GM12878	AGR2	TRUE
GM12878	AHR	TRUE
GM12878	KCCAT333	TRUE
GM12878	SNX13	TRUE
GM12878	HDAC9	TRUE
GM12878	TWISTNB	TRUE
GM12878	MACC1	TRUE
GM12878	ITGB8	TRUE
GM12878	SP4	TRUE
GM12878	CDCA7L	TRUE
GM12878	RAPGEF5	TRUE
GM12878	STEAP1B	TRUE
GM12878	IL6	TRUE
GM12878	TOMM7	TRUE
GM12878	FAM126A	TRUE
GM12878	KLHL7-AS1	TRUE
GM12878	KLHL7	TRUE
GM12878	NUPL2	TRUE
GM12878	MALSU1	TRUE
GM12878	IGF2BP3	TRUE
GM12878	TRA2A	TRUE
GM12878	CCDC126	TRUE
GM12878	FAM221A	TRUE
GM12878	MPP6	TRUE
GM12878	DFNA5	TRUE
GM12878	OSBPL3	TRUE
GM12878	CYCS	TRUE
GM12878	C7orf31	TRUE
GM12878	NFE2L3	TRUE
GM12878	HNRNPA2B1	TRUE
GM12878	CBX3	TRUE
GM12878	SNX10	TRUE
GM12878	SKAP2	TRUE
GM12878	HOXA1	TRUE
GM12878	HOXA7	TRUE
GM12878	HIBADH	TRUE
GM12878	TAX1BP1	TRUE
GM12878	JAZF1	TRUE
GM12878	CREB5	TRUE
GM12878	SCRN1	TRUE
GM12878	FKBP14	TRUE
GM12878	PLEKHA8	TRUE
GM12878	MTURN	TRUE
GM12878	ZNRF2	TRUE
GM12878	LINC01176	TRUE
GM12878	NOD1	TRUE
GM12878	GGCT	TRUE
GM12878	GARS	TRUE
GM12878	MINDY4	TRUE
GM12878	LSM5	TRUE
GM12878	AVL9	TRUE
GM12878	KBTBD2	TRUE
GM12878	FKBP9	TRUE
GM12878	NT5C3A	TRUE
GM12878	RP9	TRUE
GM12878	BBS9	TRUE
GM12878	NPSR1-AS1	TRUE
GM12878	DPY19L1	TRUE
GM12878	HERPUD2	TRUE
GM12878	SEPT7-AS1	TRUE
GM12878	SEPT7	TRUE
GM12878	EEPD1	TRUE
GM12878	KIAA0895	TRUE
GM12878	ANLN	TRUE
GM12878	AOAH	TRUE
GM12878	GPR141	TRUE
