Cell type	Sample	DNase Experiment accession	ENCODE Hi-C Experiment accession	H3K27ac Experiment accession	H3K4me3 Experiment accession	CAGE Experiment accession	EP300 Experiment accession	ChIA-PET Experiment accession	CTCF Experiment accession	in situ Hi-C Experiment accession
K562	K562_ENCSR000EOT	ENCSR000EOT	ENCSR479XDG	ENCSR000AKP	ENCSR668LDD	ENCSR000CJN	ENCSR000EGE	ENCSR597AKG	ENCSR000DWE	ENCSR545YBD
GM12878	GM12878_ENCSR000EMT	ENCSR000EMT	ENCSR916MFV	ENCSR000AKC	ENCSR057BWO	ENCSR000CKA	ENCSR000DZD	ENCSR184YZV	ENCSR000DZN	ENCSR410MDC
