2025-08-12 18:30:19.235804	https://www.encodeproject.org/report/?type=Annotation&annotation_type=element+gene+regulatory+interaction+predictions&software_used.software.name=distal-regulation-encode_re2g&status=released&field=%40id&field=accession&field=aliases&field=experimental_input&limit=all
ID	Accession	Aliases	Experimental input
/annotations/ENCSR873VNJ/	ENCSR873VNJ	jesse-engreitz:abc_predictions_mesendoderm_ENCSR714DIF_DNaseOnly,jesse-engreitz:encode_re2g_predictions_mesendoderm_ENCSR714DIF_DNaseOnly	/experiments/ENCSR714DIF/
/annotations/ENCSR892CTR/	ENCSR892CTR	jesse-engreitz:abc_predictions_common_myeloid_progenitor__CD34-positive_ENCSR564TUY_DNaseOnly,jesse-engreitz:encode_re2g_predictions_common_myeloid_progenitor__CD34-positive_ENCSR564TUY_DNaseOnly	/experiments/ENCSR564TUY/
/annotations/ENCSR194ANX/	ENCSR194ANX	jesse-engreitz:abc_predictions_T-cell_ENCSR198UKY_DNaseOnly,jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR198UKY_DNaseOnly	/experiments/ENCSR198UKY/
/annotations/ENCSR538GSH/	ENCSR538GSH	jesse-engreitz:abc_predictions_CD8-positive__alpha-beta_memory_T_cell_ENCSR295UXT_DNaseOnly,jesse-engreitz:encode_re2g_predictions_CD8-positive__alpha-beta_memory_T_cell_ENCSR295UXT_DNaseOnly	/experiments/ENCSR295UXT/
/annotations/ENCSR389CYV/	ENCSR389CYV	jesse-engreitz:abc_predictions_stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR731DJH_DNaseOnly,jesse-engreitz:encode_re2g_predictions_stimulated_activated_CD4-positive__alpha-beta_T_cell_ENCSR731DJH_DNaseOnly	/experiments/ENCSR731DJH/
/annotations/ENCSR792FDE/	ENCSR792FDE	jesse-engreitz:abc_predictions_T-cell_ENCSR213WNV_DNaseOnly,jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR213WNV_DNaseOnly	/experiments/ENCSR213WNV/
/annotations/ENCSR935SVA/	ENCSR935SVA	jesse-engreitz:abc_predictions_amniotic_epithelial_cell_ENCSR000END_DNaseOnly,jesse-engreitz:encode_re2g_predictions_amniotic_epithelial_cell_ENCSR000END_DNaseOnly	/experiments/ENCSR000END/
/annotations/ENCSR046CKU/	ENCSR046CKU	jesse-engreitz:abc_predictions_stomach_ENCSR930YSB_DNaseOnly,jesse-engreitz:encode_re2g_predictions_stomach_ENCSR930YSB_DNaseOnly	/experiments/ENCSR930YSB/
/annotations/ENCSR262GGN/	ENCSR262GGN	jesse-engreitz:abc_predictions_bronchial_epithelial_cell_ENCSR000EPN_DNaseOnly,jesse-engreitz:encode_re2g_predictions_bronchial_epithelial_cell_ENCSR000EPN_DNaseOnly	/experiments/ENCSR000EPN/
/annotations/ENCSR100UQM/	ENCSR100UQM	jesse-engreitz:abc_predictions_bronchial_epithelial_cell_ENCSR000EPX_DNaseOnly,jesse-engreitz:encode_re2g_predictions_bronchial_epithelial_cell_ENCSR000EPX_DNaseOnly	/experiments/ENCSR000EPX/
/annotations/ENCSR467WPQ/	ENCSR467WPQ	jesse-engreitz:abc_predictions_T-cell_ENCSR218FJD_DNaseOnly,jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR218FJD_DNaseOnly	/experiments/ENCSR218FJD/
/annotations/ENCSR210RBR/	ENCSR210RBR	jesse-engreitz:abc_predictions_fibroblast_of_dermis_ENCSR000EPO_DNaseOnly,jesse-engreitz:encode_re2g_predictions_fibroblast_of_dermis_ENCSR000EPO_DNaseOnly	/experiments/ENCSR000EPO/
/annotations/ENCSR082DMJ/	ENCSR082DMJ	jesse-engreitz:abc_predictions_heart_right_ventricle_ENCSR694LFE_DNaseOnly,jesse-engreitz:encode_re2g_predictions_heart_right_ventricle_ENCSR694LFE_DNaseOnly	/experiments/ENCSR694LFE/
/annotations/ENCSR386HDC/	ENCSR386HDC	jesse-engreitz:abc_predictions_T-cell_ENCSR251INE_DNaseOnly,jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR251INE_DNaseOnly	/experiments/ENCSR251INE/
/annotations/ENCSR105XMT/	ENCSR105XMT	jesse-engreitz:abc_predictions_fibroblast_of_the_conjunctiva_ENCSR000ENK_DNaseOnly,jesse-engreitz:encode_re2g_predictions_fibroblast_of_the_conjunctiva_ENCSR000ENK_DNaseOnly	/experiments/ENCSR000ENK/
/annotations/ENCSR190LPJ/	ENCSR190LPJ	jesse-engreitz:abc_predictions_activated_T-cell_ENCSR653OVF_DNaseOnly,jesse-engreitz:encode_re2g_predictions_activated_T-cell_ENCSR653OVF_DNaseOnly	/experiments/ENCSR653OVF/
/annotations/ENCSR204YOW/	ENCSR204YOW	jesse-engreitz:abc_predictions_T-cell_ENCSR186NTL_DNaseOnly,jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR186NTL_DNaseOnly	/experiments/ENCSR186NTL/
/annotations/ENCSR140QOX/	ENCSR140QOX	jesse-engreitz:abc_predictions_naive_thymus-derived_CD8-positive__alpha-beta_T_cell_ENCSR703VGI_DNaseOnly,jesse-engreitz:encode_re2g_predictions_naive_thymus-derived_CD8-positive__alpha-beta_T_cell_ENCSR703VGI_DNaseOnly	/experiments/ENCSR703VGI/
/annotations/ENCSR658AVY/	ENCSR658AVY	jesse-engreitz:abc_predictions_stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR819EPD_DNaseOnly,jesse-engreitz:encode_re2g_predictions_stimulated_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR819EPD_DNaseOnly	/experiments/ENCSR819EPD/
/annotations/ENCSR381NTL/	ENCSR381NTL	jesse-engreitz:abc_predictions_astrocyte_of_the_hippocampus_ENCSR000ENA_DNaseOnly,jesse-engreitz:encode_re2g_predictions_astrocyte_of_the_hippocampus_ENCSR000ENA_DNaseOnly	/experiments/ENCSR000ENA/
/annotations/ENCSR557PDH/	ENCSR557PDH	jesse-engreitz:abc_predictions_CD14-positive_monocyte_ENCSR000ELE_DNaseOnly,jesse-engreitz:encode_re2g_predictions_CD14-positive_monocyte_ENCSR000ELE_DNaseOnly	/experiments/ENCSR000ELE/
/annotations/ENCSR573KDB/	ENCSR573KDB	jesse-engreitz:abc_predictions_T-cell_ENCSR111LTT_DNaseOnly,jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR111LTT_DNaseOnly	/experiments/ENCSR111LTT/
/annotations/ENCSR320AWG/	ENCSR320AWG	jesse-engreitz:abc_predictions_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR134CIY_DNaseOnly,jesse-engreitz:encode_re2g_predictions_activated_CD8-positive__alpha-beta_memory_T_cell_ENCSR134CIY_DNaseOnly	/experiments/ENCSR134CIY/
/annotations/ENCSR155VGH/	ENCSR155VGH	jesse-engreitz:abc_predictions_mammary_epithelial_cell_ENCSR817ALC_DNaseOnly,jesse-engreitz:encode_re2g_predictions_mammary_epithelial_cell_ENCSR817ALC_DNaseOnly	/experiments/ENCSR817ALC/
/annotations/ENCSR935ZEQ/	ENCSR935ZEQ	jesse-engreitz:abc_predictions_activated_CD4-positive__alpha-beta_T_cell_ENCSR457JOG_DNaseOnly,jesse-engreitz:encode_re2g_predictions_activated_CD4-positive__alpha-beta_T_cell_ENCSR457JOG_DNaseOnly	/experiments/ENCSR457JOG/
/annotations/ENCSR579WIF/	ENCSR579WIF	jesse-engreitz:abc_predictions_Daoy_ENCSR346IHH_DNaseOnly,jesse-engreitz:encode_re2g_predictions_Daoy_ENCSR346IHH_DNaseOnly	/experiments/ENCSR346IHH/
/annotations/ENCSR666KYB/	ENCSR666KYB	jesse-engreitz:abc_predictions_T-cell_ENCSR041PCL_DNaseOnly,jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR041PCL_DNaseOnly	/experiments/ENCSR041PCL/
/annotations/ENCSR299PDY/	ENCSR299PDY	jesse-engreitz:abc_predictions_T-cell_ENCSR051CYH_DNaseOnly,jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR051CYH_DNaseOnly	/experiments/ENCSR051CYH/
/annotations/ENCSR868NGB/	ENCSR868NGB	jesse-engreitz:abc_predictions_CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR000EQJ_DNaseOnly,jesse-engreitz:encode_re2g_predictions_CD4-positive__CD25-positive__alpha-beta_regulatory_T_cell_ENCSR000EQJ_DNaseOnly	/experiments/ENCSR000EQJ/
/annotations/ENCSR789EZK/	ENCSR789EZK	jesse-engreitz:abc_predictions_mammary_epithelial_cell_ENCSR228VNQ_DNaseOnly,jesse-engreitz:encode_re2g_predictions_mammary_epithelial_cell_ENCSR228VNQ_DNaseOnly	/experiments/ENCSR228VNQ/
/annotations/ENCSR921ZVQ/	ENCSR921ZVQ	jesse-engreitz:abc_predictions_suppressor_macrophage_ENCSR011VJK_DNaseOnly,jesse-engreitz:encode_re2g_predictions_suppressor_macrophage_ENCSR011VJK_DNaseOnly	/experiments/ENCSR011VJK/
/annotations/ENCSR203DZL/	ENCSR203DZL	jesse-engreitz:abc_predictions_T-cell_ENCSR140KPO_DNaseOnly,jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR140KPO_DNaseOnly	/experiments/ENCSR140KPO/
/annotations/ENCSR768FRX/	ENCSR768FRX	jesse-engreitz:abc_predictions_SK-N-DZ_ENCSR946MVP_DNaseOnly,jesse-engreitz:encode_re2g_predictions_SK-N-DZ_ENCSR946MVP_DNaseOnly	/experiments/ENCSR946MVP/
/annotations/ENCSR725FDR/	ENCSR725FDR	jesse-engreitz:abc_predictions_T-cell_ENCSR101RCL_DNaseOnly,jesse-engreitz:encode_re2g_predictions_T-cell_ENCSR101RCL_DNaseOnly	/experiments/ENCSR101RCL/
/annotations/ENCSR564ZLE/	ENCSR564ZLE	jesse-engreitz:abc_predictions_glomerular_endothelial_cell_ENCSR000EOM_DNaseOnly,jesse-engreitz:encode_re2g_predictions_glomerular_endothelial_cell_ENCSR000EOM_DNaseOnly	/experiments/ENCSR000EOM/
/annotations/ENCSR279BKT/	ENCSR279BKT	jesse-engreitz:abc_predictions_GM03348_ENCSR000EIR_DNaseOnly,jesse-engreitz:encode_re2g_predictions_GM03348_ENCSR000EIR_DNaseOnly	/experiments/ENCSR000EIR/
/annotations/ENCSR824NLI/	ENCSR824NLI	jesse-engreitz:abc_predictions_CD14-positive_monocyte_ENCSR000EPK_DNaseOnly,jesse-engreitz:encode_re2g_predictions_CD14-positive_monocyte_ENCSR000EPK_DNaseOnly	/experiments/ENCSR000EPK/
/annotations/ENCSR936BUB/	ENCSR936BUB	jesse-engreitz:abc_predictions_Caco-2_ENCSR000EMI_DNaseOnly,jesse-engreitz:encode_re2g_predictions_Caco-2_ENCSR000EMI_DNaseOnly	/experiments/ENCSR000EMI/
/annotations/ENCSR442PKR/	ENCSR442PKR	jesse-engreitz:abc_predictions_T-helper_2_cell_ENCSR223XND_DNaseOnly,jesse-engreitz:encode_re2g_predictions_T-helper_2_cell_ENCSR223XND_DNaseOnly	/experiments/ENCSR223XND/
/annotations/ENCSR538FSP/	ENCSR538FSP	jesse-engreitz:abc_predictions_stomach_ENCSR177NIJ_DNaseOnly,jesse-engreitz:encode_re2g_predictions_stomach_ENCSR177NIJ_DNaseOnly	/experiments/ENCSR177NIJ/
/annotations/ENCSR014MUK/	ENCSR014MUK	jesse-engreitz:abc_predictions_large_intestine_ENCSR800QGE_DNaseOnly,jesse-engreitz:encode_re2g_predictions_large_intestine_ENCSR800QGE_DNaseOnly	/experiments/ENCSR800QGE/
/annotations/ENCSR266DOK/	ENCSR266DOK	jesse-engreitz:abc_predictions_stomach_ENCSR246PXX_DNaseOnly,jesse-engreitz:encode_re2g_predictions_stomach_ENCSR246PXX_DNaseOnly	/experiments/ENCSR246PXX/
